date,year,month,commodity,source_commodity,monthly_average_price,admin1,admin2,market,pricetype,currency,unit
2021-12-15,2021,12,Banana (Lakatan),Bananas (lakatan),62.27,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-01-15,2022,1,Banana (Lakatan),Bananas (lakatan),64.9,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-02-15,2022,2,Banana (Lakatan),Bananas (lakatan),64.87,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-03-15,2022,3,Banana (Lakatan),Bananas (lakatan),64.31,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-04-15,2022,4,Banana (Lakatan),Bananas (lakatan),64.44,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-05-15,2022,5,Banana (Lakatan),Bananas (lakatan),64.34,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-06-15,2022,6,Banana (Lakatan),Bananas (lakatan),64.58,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-07-15,2022,7,Banana (Lakatan),Bananas (lakatan),64.53,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-08-15,2022,8,Banana (Lakatan),Bananas (lakatan),65.3,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-09-15,2022,9,Banana (Lakatan),Bananas (lakatan),67.01,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-10-15,2022,10,Banana (Lakatan),Bananas (lakatan),67.66,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-11-15,2022,11,Banana (Lakatan),Bananas (lakatan),68.77,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2022-12-15,2022,12,Banana (Lakatan),Bananas (lakatan),73.25,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-01-15,2023,1,Banana (Lakatan),Bananas (lakatan),81.18,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-02-15,2023,2,Banana (Lakatan),Bananas (lakatan),84.62,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-03-15,2023,3,Banana (Lakatan),Bananas (lakatan),87.12,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-04-15,2023,4,Banana (Lakatan),Bananas (lakatan),89.01,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-05-15,2023,5,Banana (Lakatan),Bananas (lakatan),91.04,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-06-15,2023,6,Banana (Lakatan),Bananas (lakatan),89.5,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-07-15,2023,7,Banana (Lakatan),Bananas (lakatan),88.07,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-08-15,2023,8,Banana (Lakatan),Bananas (lakatan),87.16,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-09-15,2023,9,Banana (Lakatan),Bananas (lakatan),88.09,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-10-15,2023,10,Banana (Lakatan),Bananas (lakatan),91.17,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-11-15,2023,11,Banana (Lakatan),Bananas (lakatan),93.74,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2023-12-15,2023,12,Banana (Lakatan),Bananas (lakatan),96.28,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-01-15,2024,1,Banana (Lakatan),Bananas (lakatan),99.54,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-02-15,2024,2,Banana (Lakatan),Bananas (lakatan),101.67,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-03-15,2024,3,Banana (Lakatan),Bananas (lakatan),101.67,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-04-15,2024,4,Banana (Lakatan),Bananas (lakatan),102.16,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-05-15,2024,5,Banana (Lakatan),Bananas (lakatan),101.57,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-06-15,2024,6,Banana (Lakatan),Bananas (lakatan),101.04,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-07-15,2024,7,Banana (Lakatan),Bananas (lakatan),102.13,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-08-15,2024,8,Banana (Lakatan),Bananas (lakatan),103.37,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2024-09-15,2024,9,Banana (Lakatan),Bananas (lakatan),103.74,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
