series_key,category,commodity,specification,unit,numeric_observations,first_numeric_week,latest_numeric_week,latest_numeric_price,latest_pdf_price,latest_pdf_availability,forecast_eligible_16_plus
"BEEF PRODUCTS | Chicken Egg (White, Small) | 51-55 grams/pc | pc",BEEF PRODUCTS,"Chicken Egg (White, Small)",51-55 grams/pc,pc,101,2024-04-29,2026-08-31,7.39,7.39,available,yes
"BEEF PRODUCTS | Pork Belly (Liempo), Imported | (no specification) | kg",BEEF PRODUCTS,"Pork Belly (Liempo), Imported",,kg,30,2026-01-05,2026-08-31,307.27,307.27,available,yes
"BEEF PRODUCTS | Pork Belly (Liempo), Local | (no specification) | kg",BEEF PRODUCTS,"Pork Belly (Liempo), Local",,kg,30,2026-01-05,2026-08-31,379.2,379.2,available,yes
"BEEF PRODUCTS | Pork Picnic Shoulder (Kasim), Imported | (no specification) | kg",BEEF PRODUCTS,"Pork Picnic Shoulder (Kasim), Imported",,kg,29,2026-01-05,2026-08-31,241.45,241.45,available,yes
"BEEF PRODUCTS | Pork Picnic Shoulder (Kasim), Local | (no specification) | kg",BEEF PRODUCTS,"Pork Picnic Shoulder (Kasim), Local",,kg,30,2026-01-05,2026-08-31,325.22,325.22,available,yes
"BEEF PRODUCTS | Whole Chicken, Local | Fully Dressed | kg",BEEF PRODUCTS,"Whole Chicken, Local",Fully Dressed,kg,120,2024-01-01,2026-08-31,204.74,204.74,available,yes
LOWLAND VEGETABLES | Ampalaya | 4-5 pcs/kg | kg,LOWLAND VEGETABLES,Ampalaya,4-5 pcs/kg,kg,120,2024-01-01,2026-08-31,192.16,192.16,available,yes
"LOWLAND VEGETABLES | Chilli (Green), Local | Haba/Panigang | kg",LOWLAND VEGETABLES,"Chilli (Green), Local",Haba/Panigang,kg,33,2025-12-15,2026-08-31,197.2,197.2,available,yes
LOWLAND VEGETABLES | Eggplant | 3-4 Small Bundles | kg,LOWLAND VEGETABLES,Eggplant,3-4 Small Bundles,kg,120,2024-01-01,2026-08-31,186.32,186.32,available,yes
LOWLAND VEGETABLES | Native Pechay | 3-4 Small Bundles | kg,LOWLAND VEGETABLES,Native Pechay,3-4 Small Bundles,kg,120,2024-01-01,2026-08-31,202.65,202.65,available,yes
LOWLAND VEGETABLES | Pole Sitao | 3-4 Small Bundles | kg,LOWLAND VEGETABLES,Pole Sitao,3-4 Small Bundles,kg,120,2024-01-01,2026-08-31,185.41,185.41,available,yes
LOWLAND VEGETABLES | Squash | Suprema Variety | kg,LOWLAND VEGETABLES,Squash,Suprema Variety,kg,120,2024-01-01,2026-08-31,66.87,66.87,available,yes
LOWLAND VEGETABLES | Tomato | 15-18 pcs/kg | kg,LOWLAND VEGETABLES,Tomato,15-18 pcs/kg,kg,120,2024-01-01,2026-08-31,108.5,108.5,available,yes
"HIGHLAND VEGETABLES | Bell Pepper (Green), Local | Medium (151-250gm/pc) | kg",HIGHLAND VEGETABLES,"Bell Pepper (Green), Local",Medium (151-250gm/pc),kg,110,2024-02-12,2026-08-31,275.2,275.2,available,yes
"HIGHLAND VEGETABLES | Bell Pepper (Red), Local | Medium (151-250gm/pc) | kg",HIGHLAND VEGETABLES,"Bell Pepper (Red), Local",Medium (151-250gm/pc),kg,110,2024-02-12,2026-08-31,246.71,246.71,available,yes
"HIGHLAND VEGETABLES | Broccoli, Local | Medium (8-10 cm diameter/bunch hd) | kg",HIGHLAND VEGETABLES,"Broccoli, Local",Medium (8-10 cm diameter/bunch hd),kg,101,2024-04-15,2026-08-31,245.71,245.71,available,yes
HIGHLAND VEGETABLES | Cabbage (Rare Ball) | 510 gm - 1 kg/head | kg,HIGHLAND VEGETABLES,Cabbage (Rare Ball),510 gm - 1 kg/head,kg,115,2024-01-08,2026-08-31,147.87,147.87,available,yes
HIGHLAND VEGETABLES | Cabbage (Scorpio) | 750 gm - 1 kg/head | kg,HIGHLAND VEGETABLES,Cabbage (Scorpio),750 gm - 1 kg/head,kg,115,2024-01-01,2026-08-31,140.99,140.99,available,yes
